index,operation_name,Address,Zip,en_intensity_ekWh_sqft,lat,lng,dim_operation_type,dim_City,dim_organization,tot_floor_area_ft2,org_rank,op_type_rank,city_rank
2893,Fire Hall #3,285 Pelham Road,L2S1X7,34.7353280517767,43.1299286,-79.2590408,24,1024,132,3940.0,29,912,90
2894,Fire Hall #4,14 Walnut Steet,L2T1K9,41.1111667101996,43.14040429999999,-79.2144022,24,1024,132,4510.0,32,995,95
2895,Fire Hall #5,149 Martindale Road,L2S2X5,49.96689108175,43.1684674,-79.2709753,24,1024,132,4000.0,36,1055,100
2896,Fire Hall #6,465 Scott Street,L2M5B4,48.54022265034799,43.191782399999994,-79.22116949999999,24,1024,132,4310.0,35,1051,99
2897,Haig Compressor Room,17 Beech Street,L2R6H1,29.1111809782292,43.16519520000001,-79.25672309999999,12,1024,132,32291.0,24,57,84
2898,Happy Rolph's House,2 Northrup Crescent,L2M7M3,21.183478281111103,43.2242508,-79.2036438,21,1024,132,2700.0,16,320,48
2899,Kiwanis Aquatic Centre,425 Carlton Street,L2M4W9,348.8672993145,43.1804504,-79.2260513,14,1024,132,10000.0,42,134,107
2900,Lake Street Service Centre Administrative Building,383 Lake Street,L2N4H5,39.3574183697716,43.1853969,-79.25179519999998,17,1024,132,77318.0,31,1043,93
2901,Lakeside Park Carousel Building,2 Main Street,L2N4T4,50.4690316322979,43.2026138,-79.2671432,21,1024,132,4539.0,37,528,101
2902,Malcolmson Park Storage Greenhouse,325 Lakeshore Road,L2M1R7,10.4033333333333,43.2148549,-79.2172021,7,1024,132,600.0,11,278,12
2903,Market Square Building,91 King Street,L2R3H6,33.6795352601692,43.1587906,-79.2461166,21,1024,132,7449.0,27,463,88
2904,Merritton Senior Centre,343 Merritt Street,L2P1P7,5.3426361162235585,43.140699700000006,-79.21405299999998,5,797,132,24298.0,6,103,1
2905,Morningstar Mills - Gris Mill & Turbine,2716 DeCew Road,L0S1E6,12.036671368124098,43.10977889999999,-79.2641215,21,1024,132,1418.0,12,171,13
2906,Morningstar Mills - House,2710 DeCew Road,L0S1E6,15.7436142786675,43.1094284,-79.2660751,21,1024,132,1561.0,15,226,21
2907,Old Court House,101 King Street,L2R3H6,15.2516031871222,43.1590042,-79.24591059999999,17,1024,132,24150.0,13,336,17
2908,Ontario Street Parking Garage,8 Ontario Street,L2R7L2,3.1969586206896605,43.1557942,-79.2469713,6,1024,132,145000.0,4,9,4
2909,Parks and Recreation Main Office & Repair Garage - Structure,320 Geneva Street,L2N2G6,27.6668168546106,43.1798592,-79.2399521,17,1024,132,10888.0,22,822,80
2910,Port Weller Community Centre,1 Bogart Street,L2R7C2,60.67726680685461,43.156942799999996,-79.24551140000001,5,1024,132,3122.0,40,1082,105
2911,RCS Storage/Workshop & Equipment Garage,320 Geneva Street,L2N2G6,8.82535714285714,43.1798592,-79.2399521,7,1024,132,2800.0,9,238,8
2912,Renown Road Storage Building,45 Renown Road,L2N7P8,0.18610705596107105,43.1954549,-79.2598271,7,1024,132,41100.0,1,12,1
2913,Rex Stimers/Jack Gatecliff Arena (Garden City),8 Gale Crescent,L2R4C3,45.9368171911077,43.1601563,-79.2390137,12,1024,132,83848.0,33,89,96
2914,Russell Ave Community Centre,108 Russell Avenue,L2R1V8,8.402830234212919,43.16994860000001,-79.24674990000003,5,1024,132,16485.0,8,170,7
2915,Seymour Hannah Four Pad Arena,240 St Paul Street West,L2S2E7,74.2604729898185,43.144928,-79.2608719,12,1024,132,133870.0,41,100,106
2916,St. Catharines Municipal Golf Course,37 Lincoln Avenue,L2P2C7,54.453091460151796,43.1546516,-79.2184677,17,1024,132,2108.0,38,1171,103
2917,St. Catharines Public Library: Centennial Branch,54 Church Street,L2R5M7,15.404716982039199,43.1601791,-79.24597170000001,1,1024,132,73382.0,14,164,19
2918,St. Catharines Public Library: Port Dalhousie Branch,23 Brock Street,L2N5E4,0.44564315352697104,43.2010384,-79.2704697,1,1024,132,1205.0,2,4,2
2919,Transit Commission Building,2012 First St South,L2S3V9,55.7208360795955,43.163925299999995,-79.27630839999998,7,1024,132,69426.0,39,1178,104
2920,Victoria Lawn Cemetry Office,432 Queenston Street,L2P2Y2,26.2547568710359,43.15965900000001,-79.20636329999998,17,1024,132,1892.0,20,778,73
2921,Victoria Lawn Cemetry Storage Building,439 Queenston Street,L2P2Y2,9.192695214105788,43.16016010000001,-79.2057343,7,1024,132,1588.0,10,246,9
2922,Victoria Lawn Cemetry Storage Building #1,434 Queenston Street,L2P2Y2,7.41086956521739,43.15965900000001,-79.20636329999998,7,1024,132,1840.0,7,204,6
2923,Airport Hangar and Fuel Pump,44989 Talbot Line,N5P3S7,76.33771633432191,42.7790184,-81.14662170000003,7,780,344,2639.0,23,1233,38
2924,Airport New Administration and Hangar,44989 Talbot Line,N5P3S7,2.80916677909342,42.7790184,-81.14662170000003,17,780,344,42650.0,3,44,3
2925,Airport Old Adminstration Building,44989 Talbot Line,N5P3S7,26.0326675894166,42.777047700000004,-81.1013105,17,780,344,2152.0,15,772,25
2926,Airport Works Building,44989 Talbot Line,N5P3S7,17.9534377533345,42.777047700000004,-81.1013105,7,780,344,2583.0,13,533,18
2928,Animal Shelter,100 Burwell Road,N5P3R8,20.697283918412896,42.7860985,-81.165802,17,822,344,3229.0,14,568,6
2929,Athletic Park Service Building,95 St. George Street,N5P2L5,5.03958755246154,42.78293439999999,-81.20155059999998,17,780,344,3498.0,5,80,4
2931,Bus Terminal,614 Talbot Street,N5P1C8,1.42983475243776,42.7787552,-81.1903915,17,780,344,19234.0,2,27,2
2932,Captain Dennis Redman Memorial Sub-station,235 Burwell Road,N5P4J7,62.9541684648359,42.7950706,-81.1635056,24,822,344,4895.0,22,1089,10
2933,Central Fire Station,50 Wellington Street,N5R2T2,16.999317408236102,42.7752609,-81.19818120000002,24,822,344,20699.0,12,417,5
2934,City Hall and Annex,545 Talbot Street,N5P3V7,3.54172827836136,42.7790756,-81.19319920000002,17,822,344,32500.0,4,56,1
2940,Horton Market,4 Manitoba Street,N5P3A2,8.86661528267554,42.78066750000001,-81.18585970000002,21,822,344,3402.0,7,125,2
2942,Justice Building,34 St. Catharine Street,N5P2V8,27.261758172864297,42.78028870000001,-81.1914978,20,822,344,33583.0,16,109,7
2943,Memorial Arena,80 Wilson Avenue,N5R3P8,50.53252965425429,42.7667389,-81.196106,5,780,344,20235.0,20,1055,35
2944,Memorial Arena - Ice,80 Wilson Avenue,N5R3P8,32.461794648,42.7671526,-81.19549070000002,13,780,344,10763.0,17,228,27
2946,Pinafore Park Service Building,95 Elm Street,N5R1H7,39.7238939518884,42.7645923,-81.19191289999998,17,780,344,10579.0,18,1049,29
2948,Pollution Control Plant,40359 Bush Line,N5P3S9,336.725763260339,42.7556305,-81.21876529999999,17,780,344,2798.0,24,1291,39
2949,Public Works Service Centre Admin Building,100 Burwell Road,N5P3R8,13.407224405593901,42.7860985,-81.165802,17,822,344,6884.0,10,276,3
2950,Public Works Service Centre Garage,100 Burwell Road,N5P3R8,13.503497779769402,42.7860985,-81.165802,7,822,344,12694.0,11,358,4
2953,St. Thomas Public Library,153 Curtis Street,N5P3Z7,11.270451938549302,42.7797369,-81.1914936,1,780,344,21628.0,9,89,8
2954,St. Thomas Timken Community Centre,2 Third Avenue ,N5R0A7,9.43250493059142,42.7767084,-81.17871170000002,5,780,344,162689.0,8,197,6
2955,St. Thomas Timken Community Centre - ice,2 Third Avenue ,N5R0A7,54.8848845510719,42.7767084,-81.17871170000002,13,780,344,33989.0,21,362,36
2956,Valleyview Home ,350 Burwell Road,N5R0A3,47.082042630842,42.8032761,-81.1594925,17,780,344,85000.0,19,1126,34
2958,Waterworks Park Trailer,2 South Edgeware Road,N5P2H2,5.75926354653706,42.79100800000001,-81.1870499,17,780,344,885.0,6,89,5
2960,West Pavillion - Pinafore Park,95 Elm Street,N5R1H7,0.125184597984691,42.7645923,-81.19191289999998,17,780,344,5039.0,1,6,1
2963,AVONDALE CEMETARY ,4 AVONDALE AVE,N5A6M4,6.374396779970733,43.3727913,-80.99698640000003,17,1056,237,5535.0,2,104,2
2964,BOATHOUSE INFORMATION CENTRE,30 YORK ST,N5A1J6,162.033172230615,43.372268700000006,-80.98313900000002,7,1056,237,335.0,17,1287,17
2965,CITY OF STRATFORD ANNEX BUILDING,82 ERIE ST,N5A2M4,23.294923390596104,43.37043,-80.98422240000002,17,1056,237,26054.0,8,659,8
2966,CITY OF STRATFORD CITYHALL,1 WELLINGTON ST,N5A6W1,37.98372904234071,43.3699112,-80.98223879999998,17,1056,237,23400.0,14,1019,14
2967,COMMUNITY SERVICES,27 MORENZ DR,N5A4B7,43.8751287543783,43.3736916,-80.9761276,17,1056,237,3064.0,15,1099,15
2968,DUFFERIN ARENA,51 OAK ST,N5A2G2,22.5017309594028,43.3580818,-80.9863739,13,1056,237,35000.0,6,103,6
2969,FIRE STATION #1,388 ERIE ST,N5A2N4,20.7025978753428,43.3625699,-80.99034069999998,24,1056,237,7292.0,3,539,3
2970,FIRE STATION #2,44 MCCARTHY RD,N5A7K8,32.434851933360896,43.3849411,-80.97332,24,1056,237,4832.0,12,862,12
2971,KIWANIS CENTRE,111 LAKESIDE DR,N5A7K5,28.3939126115068,43.37390900000001,-80.9770126,21,1056,237,35770.0,11,419,11
2972,POLICE STATION,17 GEORGE ST,N5A1A6,22.2238171534233,43.3685112,-80.9819489,20,1056,237,28800.0,5,67,5
2973,PUBLIC LIBRARY,19 ST ANDREW ST,N5A1A2,25.356461119915,43.3709412,-80.98506929999998,1,1056,237,17202.0,9,372,9
2974,QUEENS PARK SNACK BAR,440 RICHARD MONETTE WAY,N5A4M9,2.26382130584192,43.3735797,-80.96589200000003,7,1056,237,7275.0,1,70,1
2975,ROTARY COMPLEX,353 MCCARTHY RD,N5A7S7,33.6639343877514,43.3862342,-80.98407009999998,13,1056,237,155600.0,13,240,13
2976,TOURISM ALLIANCE,47 DOWNIE ST,N5A6W1,20.8725622767273,43.37036129999999,-80.98178100000001,17,1056,237,5610.0,4,574,4
2977,TRANSIT GARAGE,60 CORCORAN ST,N5A1V7,26.6204505967663,43.3594284,-80.9958572,7,1056,237,12640.0,10,820,10
2980,WILLIAM ALLMAN AREANA,17 MORENZ DR,N5A4B7,52.9844935206823,43.3739471,-80.97646329999998,13,1056,237,38610.0,16,357,16
2981,YOUTH FOCUS CENTRE,171 DOWNIE ST,N5A1X2,22.701158083004604,43.36780170000001,-80.9802475,5,1056,237,3500.0,7,677,7
2982,Arena / Community Center,75 Wellington Street,P0J1P0,36.459205436405796,47.5071907,-79.67276,18,1156,128,45295.0,23,221,32
2983,Arena / Community Center,00 Blackwall Street,P0J1K0,31.091383517283692,47.4466614,-79.6354084,13,398,128,35004.0,20,214,15
2985,Building Maintenance Shop/Office &  Public Works Garage - Carpenter's Shop,500 Broadway,P0J1K0,9.63958932688514,47.44968970000001,-79.6394205,7,398,128,15715.0,11,261,5
2987,Cemetery Caretaker Building,177150 Shepherdson,P0J1P0,4.41129032258065,47.5042305,-79.6956863,17,1156,128,248.0,6,68,5
2988,Cemetery Chapel,00 Whitewood Avenue,P0J1P0,0.166929133858268,47.50856479999999,-79.6715601,21,1156,128,1905.0,1,11,1
2989,Cemetery Vault,350 Morissette,P0J1K0,0.282998944033791,47.435997,-79.6318512,17,398,128,947.0,2,9,1
2990,City Hall / Provincial Court / Council / Art Gallery,325 Farr Drive,P0J1K0,32.3925234849441,47.445118,-79.6293106,17,865,128,15210.0,21,935,4
2991,Community Hall / Office Building,90 Whitewood Avenue,P0J1P0,10.1708135642185,47.5084595,-79.6752834,5,1156,128,38696.0,12,218,10
2992,Dump Garage / Office,704165 Rockley,P0J1P0,3.342,47.5076408,-79.73377990000002,7,1156,128,500.0,5,99,4
2994,Fire Station,468 Georgina Avenue,P0J1K0,18.338347948488,47.4487686,-79.6357117,24,398,128,8697.0,19,464,7
2995,Fire Station,30 Wellington Street,P0J1P0,16.1939904498333,47.5083008,-79.6732025,24,1156,128,6598.0,16,382,16
2998,Haileybury Library Building,545 Lakeshore Road,P0J1K0,9.144709081918599,47.4511108,-79.6333237,1,398,128,17200.0,10,55,4
2999,Harbour Building,000 Farr Drive,P0J1K0,12.1244522348817,47.442424100000004,-79.62710299999998,7,865,128,5705.0,13,323,1
3003,Library Building,50 Whitewood,P0J1P0,13.1404317262838,47.50842670000001,-79.6726456,1,1156,128,10204.0,14,121,14
3005,Medical Center,285 Whitewood Avenue,P0J1P0,8.9927338073287,47.5087051,-79.6823273,17,1156,128,12799.0,9,165,9
3006,Medical Center,95 Meridian,P0J1K0,6.67478861245206,47.4392662,-79.63204959999999,17,398,128,26598.0,8,107,3
3010,Pool and Fitness Center,00 Cedar Street - 77 Wellington,P0J1P0,100.779653514506,43.5301514,-80.2523422,14,1156,128,21302.0,24,103,38
3011,Public Works Garage,200 Lakeshore,P0J1P0,107.688124052235,47.5040398,-79.67939759999999,7,1156,128,5705.0,25,1266,39
3012,Public Works Garage - Main Shop,501 Broadway,P0J1K0,34.963137676988,47.4497604,-79.6390533,7,398,128,8300.0,22,1010,16
3013,Public Works Main Garage,000 Lakeshore,P0J1P0,6.5529061102831605,47.5020409,-79.68110659999998,7,1156,128,10065.0,7,181,7
3014,PW Complex / Community Hall / Offices / Fire Hall,181 - 110 Drive in Theatre,P0J1P0,17.505066099648303,47.5379486,-79.67147829999998,24,1165,128,17060.0,18,433,1
3015,Quonset Hut Public Works Yard,000 Lakeshore,P0J1P0,2.8160416666666697,47.5020409,-79.68110659999998,7,1156,128,4800.0,4,86,3
3016,Riverside Place,55 Whitewood Avenue,P0J1P0,16.6281032866144,47.5088734,-79.668683,5,1156,128,11744.0,17,444,17
3017,Sail Boat Office (club),H-305 Farr Drive / G-400 Farr Drive,P0J1K0,14.402273152391501,47.4470558,-79.63076020000003,17,398,128,1798.0,15,308,6
3021,Small Office Food Bank & Park Washroom,400 Morissette Drive,P0J1K0,0.895264116575592,47.4359016,-79.6352005,17,398,128,1098.0,3,17,2
3028,Allanburg Community Centre,1560 Falls Street,L0S1A0,27.1052793726087,43.0779152,-79.20826720000002,5,808,88,6900.0,17,796,27
3029,Arenas,70 Front Street North,L2V4A7,49.277532685032995,43.12813189999999,-79.2006378,13,808,88,33594.0,19,347,33
3030,Battle of Beaverdams Park,Sullivan Avenue,L2V4A7,0.6292887029288701,43.122874100000004,-79.21438559999999,8,808,88,1195.0,1,1,1
3031,C. E. Grose Park,48 McMann Drive/0 Ann St,L2V4A7,80.2886221982652,43.1266641,-79.2078772,5,808,88,807.0,21,1114,36
3032,City Hall,3540 Schmon Parkway,L2V4Y6,13.905150477778498,43.1166458,-79.23959350000001,17,808,88,14693.0,9,297,11
3033,Darlene Ryan Port Robinson Community Centre,40 Cross Street,L2V4A7,22.5492376487785,43.111561,-79.24068100000002,5,808,88,2497.0,14,673,23
3034,Fire Station #1,16 Towpath Street,L2V4A7,22.87519120005,43.1244316,-79.20178220000003,24,808,88,7998.0,15,603,24
3035,Fire Station #2,701 Allanburg Road,L2V4A7,11.515039031379096,43.0887794,-79.1999207,24,808,88,13799.0,6,206,7
3036,Fire Station #3,7 River Street/39 Bridge St E,L2V4A7,20.542897087174,43.0389671,-79.2100372,24,808,88,2799.0,13,532,20
3037,Fire Station #4,2189 Highway 20,L2V4A7,17.284630408925,43.1238768,-79.20012709999997,24,808,88,8493.0,12,428,17
3038,Future Seniors Centre,8 Carleton Street South,L2V4A7,6.51188206647711,43.1241035,-79.19751740000002,5,808,88,20398.0,5,126,6
3039,Lakeview Cemetery,3651 Thorold Townline Road,L2V4A7,3.92680481283422,43.13298289999999,-79.1997997,7,808,88,2992.0,3,116,3
3040,Lakeview Cemetery,3651 Thorold Townline Road,L2V4A7,13.221752903907099,43.13298289999999,-79.1997997,17,808,88,1894.0,8,270,9
3041,Lock 7 Tourism,50 Chapel Street South,L2V4A7,28.4529613187991,43.1213837,-79.19521329999998,5,808,88,1399.0,18,825,31
3042,McMillan Park,Carleton Street South/0 Chapel St S,L2V4A7,74.19444444444441,43.12257320000001,-79.19538840000001,5,808,88,108.0,20,1109,35
3043,McMillan Park,Carleton Street North,L2V4A7,24.4444444444444,43.1299547,-79.19804690000002,21,808,88,990.0,16,374,25
3044,Operations,1543 Beaverdams Road,L2V4A7,14.997712941147098,43.1079278,-79.20683120000002,17,808,88,19999.0,11,328,15
3045,Parks Barn,47 Front Street North/0 Front St N,L2V4A7,14.8708745694485,43.130253100000004,-79.20064570000002,7,808,88,3391.0,10,413,14
3046,Seniors Centre,1 Ormond Street South,L2V4A7,11.5923849535465,43.1246758,-79.1991882,5,808,88,5597.0,7,261,8
3047,South Confederation Park,Confederation Avenue,L2V4A7,3.30955585464334,43.1109695,-79.221138,5,808,88,743.0,2,70,2
3048,Sullivan Park,Elgin Street,L2V4A7,4.57650273224044,43.1201868,-79.2088247,5,808,88,1098.0,4,91,4
3049,Thorold Outdoor Aquatic Centre,111 Richmond Street,L2V4A7,88.5370095425156,43.117321200000006,-79.21140439999998,21,808,88,3681.0,22,556,37
3050,101 S Syndicate (POA),101 S Syndicate Ave,P7E1C5,17.3724278817643,48.3826103,-89.2479782,17,659,27,4200.0,17,427,21
3052,125 S Syndicate Ave (CIT),125 Syndicate Ave S,P7E6H8,11.4518385003605,48.3825836,-89.2479782,17,659,27,9709.0,11,222,6
3058,55+ Centre,700 River St,P7A3S6,24.6284574682924,48.4494304,-89.23866629999998,18,659,27,22500.0,41,155,66
3061,Archives,235 Vickers St N,P7C6A4,20.20269319484,48.3862419,-89.251297,17,659,27,22000.0,31,549,38
3062,Armstrong EMS,"65 Queen Street, PO Box 6",P0T1A0,7.06276794657763,50.30363079999999,-89.0365829,22,656,27,2995.0,6,23,7
3063,Arthur St EMS,1543 Arthur St,P7E5N5,54.302869222595994,48.38097379999999,-89.25792690000002,22,659,27,2500.0,73,260,129
